순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
6062,유부녀의 참을 수 없는 욕정,사노 B사쿠,,(주)영진크리에이티브,(주)영진크리에이티브,2019-01-25,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6063,유부녀의 하얀 속살,쿠보데라 카즈토,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-08-03,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6064,유부녀의 허벅지 사이,야마자키 쿠니노리,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-03-02,개봉영화,장편,일본,1,8000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6065,유사성행위 술집,카와사키 군지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-02-08,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6066,유어 무브,루크 고스,,모비딕엔터테인먼트(주),모비딕엔터테인먼트(주),2017-12-14,개봉영화,장편,미국,1,5000,1,0,0,액션,15세이상관람가,일반영화
6067,유에프오: 지구 침공,콘래드 파라이,,(주)소나무픽쳐스,(주)소나무픽쳐스,2019-03-28,개봉영화,장편,미국,1,5000,1,0,0,액션,12세이상관람가,일반영화
6068,유출 미인뷰티샵의 정체,코지마 유카,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-06-15,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6069,유카타를 벗은 유부녀를 마사지,가토 마사키,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-07-05,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6070,유혹 : 내 아내의 비밀,조조 히데오,,(주)에스와이미디어,(주)에스와이미디어,2017-05-15,개봉영화,장편,일본,1,5000,1,0,0,기타,청소년관람불가,일반영화
6071,유혹 : 손님의 아내,토미오카 타다후미,,(주)에스와이미디어,(주)에스와이미디어,2017-11-17,개봉영화,장편,일본,1,5000,1,0,0,,청소년관람불가,일반영화
6072,유혹당한 아내 - 들이대,사스가 사스케,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-02-03,개봉영화,장편,일본,1,8000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
