title,release-time,genre,historical_drama,adventure,action,crime,fantasy,war,drama,comedy,SF,melo/romance,mystery,thriller,musical,horror,animation,documentry,western,family,show,korea,america,japan,others,national,movie_rating,num_off_screen,screen_share,fsd_num_off_box,num_off_box
타투,0,thriller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,5.54,133,2.4,4026,12103
토마스와 친구들: 블루마운틴 미스터리,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,England,8.53,49,1.2,946,12054
리틀 맨하탄,0,melo/romance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.65,139,2.6,4182,11909
페어리테일: 봉황의 무녀,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,8.9,50,1.2,6948,11830
검은손,0,horror,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,SouthKorea,3.21,178,4.4,4255,11650
슈퍼히어로,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Peru,7.12,74,1.9,4611,11469
타이치0 3D,0,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Hongkong,6.9,116,3.4,9120,11414
출동! 소방관 샘: 외계인 대소동,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,England,8.03,152,2.5,1976,11364
키즈모노가타리 III : 냉혈편,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,8.27,81,1.5,3568,11302
카이트,0,crime,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,4.49,50,1.3,5287,11287
몽키킹2: 서유기 여정의 시작,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,China,6.9,54,1.2,2717,11156
익스트림 No.13,0,thriller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,America,6.33,108,3.4,2910,11130
내가 죽기 전에,0,horror,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,America,8.72,3,0,3266,11038
엔드 오브 왓치,0,crime,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.48,54,1.5,3727,10985
손오공: 돌원숭이의 탄생,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,7.6,83,2.2,1907,10965
퇴마전: 마령검의 비밀,0,fantasy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,China,4.86,50,1.1,4922,10922
파워캐치 완다: 버그본의 지구 습격,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,5.56,178,2.8,745,10881
이웃집 스타,1,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,5.9,256,4.7,4882,10854
아이스맨,0,crime,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,7.18,20,0.5,4030,10842
일곱 개의 대죄 : 천공의 포로,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,7.97,88,1.5,3505,10806
택시 5,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,France,3.76,224,4.1,4560,10768
제 7기사단,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,6.85,95,2.1,3128,10710
극장판 빰바라빤쮸: 바나나 왕국의 비밀,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,8.68,140,2.3,3641,10681
쓰리 세컨즈,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Russia,9.09,183,3.2,3986,10659
파라노만,1,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,America,8.11,54,1.6,2110,10654
슈퍼레이서 엔지,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,SouthKorea,8,126,2.6,400,10612
추적자,0,crime,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Japan,2.62,5,0.1,2732,10502
킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,6.8,34,0.7,2152,10423
폴라로이드,0,horror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,5.25,141,2.4,5482,10359
당신에게도 사랑이 다시 찾아올까요?,0,melo/romance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,America,6.77,104,2.9,3941,10328
토마스와 친구들: 우정의 대모험,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,England,8.44,196,2.7,3096,10315
드래프트 데이,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.35,82,2.3,4108,10119
폴라로이드,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,6.51,27,0.6,6084,10094
