title,release-time,genre,national,total_revenue,movie_rating,num_off_screen,screen_share,fsd_num_off_box,num_off_box
지.아이.조 2,2013.3.28,action,America,14457048500.0,7.08,766,21.2,261139,1855917
노무현입니다,2017.5.25,documentry,SouthKorea,14554935612.0,8.72,775,14.4,181129,1854867
집으로 가는 길,2013.12.11,dramas,SouthKorea,13048519745.0,8.82,740,19.5,207242,1854625
뺑반,2019.1.30,crime,SouthKorea,15222811848.0,5.98,1285,24.7,390732,1826714
나의 PS 파트너,2012.12.6,melo/romance,SouthKorea,13845218616.0,8.25,552,15.1,189125,1823116
007 스펙터,2015.11.11,action,England,14302132030.0,7.02,1105,24.5,356520,1820842
분노의 질주: 더 맥시멈,2013.5.22,action,America,13203523042.0,8.81,656,18.5,192704,1790457
저스티스 리그,2017.11.15,action,America,14629692795.0,7.7,1308,21.8,319779,1786386
공범,2013.10.24,thriller,SouthKorea,12333110882.0,7.16,611,17.4,281513,1766285
나를 찾아줘,2014.10.23,thriller,America,14017716731.0,8.31,658,13.9,170533,1764233
대호,2015.12.16,historical_drama,SouthKorea,13489904632.0,8.02,892,20.5,255144,1762742
주먹왕 랄프 2: 인터넷 속으로,2019.1.3,animation,America,13877029723.0,8.63,1453,18.7,244802,1754375
이미테이션 게임,2015.2.17,dramas,England,13654746120.0,8.8,541,9.8,168629,1743774
전설의 주먹,2013.4.10,dramas,SouthKorea,12732236500.0,7.56,724,21.9,197960,1737253
제보자,2014.10.2,dramas,SouthKorea,13371522302.0,8.33,676,16.5,343033,1735640
씽,2016.12.21,animation,America,13257953389.0,8.97,795,13.6,69414,1729426
러브픽션,2012.2.29,melo/romance,SouthKorea,13200412500.0,6.73,617,15.5,449621,1726202
킬러의 보디가드,2017.8.30,action,America,14020395800.0,8.4,482,7.6,220874,1721757
언터처블: 1%의 우정,2012.3.22,comedy,France,12731016000.0,9.34,454,13.4,115750,1719772
샌 안드레아스,2015.6.3,action,America,14411907152.0,7.61,847,20.5,199041,1714071
파파로티,2013.3.14,dramas,SouthKorea,11808286000.0,8.3,552,15.8,149279,1713891
쥬만지: 새로운 세계,2018.1.3,action,America,13814824864.0,7.89,791,13.9,235025,1708672
쎄시봉,2015.2.5,melo/romance,SouthKorea,13509581911.0,6.14,829,16.5,217607,1707487
콩: 스컬 아일랜드,2017.3.8,action,America,13951644383.0,7.76,984,16.4,188145,1685933
피끓는 청춘,2014.1.22,comedy,SouthKorea,11688382888.0,7.62,679,16.0,301507,1676040
23 아이덴티티,2017.2.22,thriller,America,13609456135.0,7.66,952,13.8,268063,1675798
PMC: 더 벙커,2018.12.26,action,SouthKorea,14024838424.0,5.2,1081,15.9,372062,1671548
마다가스카의 펭귄,2014.12.31,animation,America,12498978959.0,8.7,615,12.3,361669,1661230
아이스 에이지 4: 대륙 이동설,2012.7.25,animation,America,12291809704.0,8.23,501,14.0,111634,1648070
공모자들,2012.8.29,crime,SouthKorea,12240964500.0,7.02,496,15.3,216429,1646142
임금님의 사건수첩,2017.4.26,comedy,SouthKorea,12648793723.0,7.71,1054,20.8,204667,1634403
마다가스카3 : 이번엔 서커스다!,2012.6.6,animation,America,12494860000.0,9.02,564,15.3,282928,1626704
걸캅스,2019.5.9,comedy,SouthKorea,13772604134.0,5.7,973,18.9,181054,1625037
우아한 거짓말,2014.3.13,dramas,SouthKorea,11694011300.0,8.4,555,13.6,147663,1613392
하울링,2012.2.16,crime,SouthKorea,11765293500.0,6.77,550,14.4,221790,1612554
두근두근 내 인생,2014.9.3,dramas,SouthKorea,12191623034.0,7.07,629,14.9,176134,1611519
사자,2019.7.31,mystery,SouthKorea,12917306145.0,6.88,1405,21.5,572906,1609737
스타트렉 다크니스,2013.5.30,action,America,12964828000.0,8.97,607,17.3,277898,1605271
창궐,2018.10.25,historical_drama,SouthKorea,13275772490.0,5.06,1351,25.2,372986,1599290
더 폰,2015.10.22,thriller,SouthKorea,12309164568.0,6.8,794,18.0,249020,1593694
성난황소,2018.11.22,crime,SouthKorea,13236490737.0,7.46,1010,19.0,371662,1593386
300: 제국의 부활,2014.3.6,action,America,13395159700.0,7.17,720,16.6,262623,1593116
범블비,2018.12.25,action,America,13090949707.0,8.07,1016,13.7,631405,1561643
용의자X,2012.10.18,mystery,SouthKorea,11241013000.0,7.65,553,16.4,227911,1552055
도어락,2018.12.5,thriller,SouthKorea,12694612486.0,5.88,954,16.0,255489,1545442
오블리비언,2013.4.11,action,America,11165841500.0,8.25,634,18.8,209051,1515356
몬스터 호텔 2,2015.12.24,animation,America,11088271276.0,8.59,686,12.3,319869,1515104
엑소더스: 신들과 왕들,2014.12.3,dramas,America,12444133926.0,7.09,865,20.2,194354,1511145
드래곤 길들이기 3,2019.1.30,animation,America,12340610576.0,9.25,971,17.9,202969,1506942
리틀 포레스트,2018.2.28,dramas,SouthKorea,11924818185.0,8.81,884,14.6,314045,1505560
인디펜던스 데이 : 리써전스,2016.6.22,action,America,12770879840.0,7.24,926,18.2,286802,1500830
어스,2019.3.27,horror,America,12586771104.0,6.73,1132,18.6,307783,1475087
차이나타운,2015.4.29,crime,SouthKorea,11989400678.0,6.97,551,13.3,185582,1472006
스윙키즈,2018.12.19,dramas,SouthKorea,12077312892.0,8.4,984,15.5,289663,1470753
부라더,2017.11.2,comedy,SouthKorea,11590908298.0,7.27,889,16.5,255985,1468301
해무(海霧),2014.8.13,dramas,SouthKorea,11631310219.0,6.83,584,14.6,346687,1466830
새미의 어드벤쳐 2,2012.8.1,animation,Belgium,10805555000.0,8.61,486,11.9,190727,1452872
위대한 개츠비,2013.5.16,dramas,America,10580582143.0,8.43,562,17.2,288395,1445124
인간중독,2014.5.14,melo/romance,SouthKorea,11284787400.0,6.71,682,19.2,201434,1441964
나의 특별한 형제,2019.5.1,dramas,SouthKorea,11835049574.0,8.92,936,19.3,241710,1441813
다이하드: 굿 데이 투 다이,2013.2.6,action,America,10825703000.0,7.11,459,13.8,146020,1438056
탐정 홍길동: 사라진 마을,2016.5.4,dramas,SouthKorea,11483686845.0,7.75,764,17.4,284292,1426873
런닝맨,2013.4.4,action,SouthKorea,10011200500.0,7.77,567,17.1,161407,1416053
위대한 쇼맨,2017.12.20,dramas,America,11511889500.0,9.4,702,12.6,89404,1402809
벤허,2016.9.14,adventure,America,11405870395.0,8.26,717,12.8,302734,1399771
말레피센트,2014.5.29,action,America,10776965900.0,8.24,554,13.7,136463,1397526
기억의 밤,2017.11.29,mystery,SouthKorea,10652346660.0,8.17,751,14.4,173709,1387599
골든슬럼버,2018.2.14,crime,SouthKorea,11412768798.0,5.18,833,13.9,354171,1387508
램페이지,2018.4.12,action,America,11951980109.0,8.29,909,15.2,182874,1385511
해피 데스데이,2017.11.8,horror,America,11003095402.0,8.19,714,10.8,94340,1382480
폼페이: 최후의 날,2014.2.20,action,America,10303127700.0,7.45,561,12.1,170868,1373873
브이아이피,2017.8.23,crime,SouthKorea,10956621835.0,6.52,996,15.2,341630,1373316
특별시민,2017.4.26,dramas,SouthKorea,10494768945.0,7.38,1154,24.4,305510,1362634
